id,sendoc_id,user_id,read_at,is_signed,signature_image_url,signed_at,form_data_json,deleted_at
a1eb1f10-f42e-4b29-bbb4-0d05ab2922dc,497f6ba5-cdbc-4825-95c4-321f73bf9344,e85bded6-67f3-46e1-ae87-b97af9c91010,,t,"",2026-03-21 15:44:10.52755+09,{},
e3f597a2-9736-4764-b13a-ca45289090b4,662573b7-5224-4628-9fe5-5e20ec2e9908,e85bded6-67f3-46e1-ae87-b97af9c91010,,t,"",2026-03-21 16:34:12.306238+09,{},
d2c6f8af-2684-4146-b943-ec3ca7ce87ce,e7b67b4d-1233-417a-9157-82e66e5a8b93,ec449426-bd11-47dc-b1b1-b0335611e921,,f,"",,{},
